cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1639000,1100533,21728,26717,1.97,2.43,2009
170,Crop production,675000,503062,3556,4049,0.71,0.81,2009
180,Animal production,622000,385066,5116,6013,1.33,1.56,2009
190,Forestry except logging,82000,41791,6435,8944,15.4,21.4,2009
270,Logging,87000,55391,3120,3120,5.63,5.63,2009
280,"Fishing, hunting, and trapping",46000,25973,117,971,0.45,3.74,2009
290,Support activities for agriculture and forestry,127000,89247,3381,3617,3.79,4.05,2009
2000,MINING,1226000,664217,56670,62603,8.53,9.43,2009
370,Oil and gas extraction,117000,62615,3184,4258,5.09,6.8,2009
380,Coal mining,260000,96881,19327,20488,19.95,21.15,2009
390,Metal ore mining,77000,43465,13063,14131,30.06,32.51,2009
470,Nonmetallic mineral mining and quarrying,143000,75336,10651,11129,14.14,14.77,2009
480,Not specified type of mining,16000,6237,539,539,8.65,8.65,2009
490,Support activities for mining,613000,379681,9904,12055,2.61,3.18,2009
3000,UTILITIES,11058000,8303312,1486429,1557737,17.9,18.76,2009
570,"Electric power generation, transmission and distribution",979000,686521,190871,203346,27.8,29.62,2009
580,Natural gas distribution,139000,98626,23586,23586,23.91,23.91,2009
590,"Electric and gas, and other combinations",104000,79101,32273,33446,40.8,42.28,2009
670,"Water, steam, air-conditioning, and irrigation systems",320000,236825,64286,68916,27.15,29.1,2009
680,Sewage treatment facilities,159000,113286,40179,43691,35.47,38.57,2009
690,Not specified utilities,26000,22940,4722,4722,20.59,20.59,2009
770,CONSTRUCTION,9331000,7066010,1130508,1180027,16.0,16.7,2009
4000,NONDURABLE GOODS MANUFACTURING,6732000,5035649,567292,615418,11.27,12.22,2009
1070,"Animal food, grain and oilseed milling",215000,132710,18180,19320,13.7,14.56,2009
1080,Sugar and confectionery products,101000,70317,12482,13569,17.75,19.3,2009
1090,Fruit and vegetable preserving and specialty food manufacturing,242000,179866,33178,34497,18.45,19.18,2009
1170,Dairy product manufacturing,235000,154370,27639,27895,17.9,18.07,2009
1180,Animal slaughtering and processing,674000,462938,91949,99058,19.86,21.4,2009
1190,Retail bakeries,204000,158239,20189,21340,12.76,13.49,2009
1270,"Bakeries, except retail",253000,186881,26827,29891,14.36,15.99,2009
1280,"Seafood and other miscellaneous foods, n.e.c.",230000,157650,15750,19530,9.99,12.39,2009
1290,Not specified food industries,34000,24175,3456,3456,14.3,14.3,2009
1370,Beverage manufacturing,259000,202102,28262,32068,13.98,15.87,2009
1390,Tobacco manufacturing,36000,36018,9057,9057,25.15,25.15,2009
1470,"Fiber, yarn, and thread mills",23000,21687,0,0,0.0,0.0,2009
1480,"Fabric mills, except knitting",117000,89330,1532,1532,1.72,1.72,2009
1490,Textile and fabric finishing and coating mills,34000,24651,2086,2086,8.46,8.46,2009
1570,Carpet and rug mills,46000,43967,454,454,1.03,1.03,2009
1590,"Textile product mills, except carpets and rugs",95000,73950,1323,3090,1.79,4.18,2009
1670,Knitting mills,13000,10020,0,0,0.0,0.0,2009
1680,Cut and sew apparel manufacturing,246000,215724,7200,8599,3.34,3.99,2009
1690,Apparel accessories and other apparel manufacturing,10000,9165,1077,1077,11.75,11.75,2009
1770,Footwear manufacturing,36000,22015,1426,1426,6.48,6.48,2009
1790,"Leather tanning and products, except footwear manufacturing",29000,21061,770,770,3.66,3.66,2009
1870,"Pulp, paper, and paperboard mills",268000,188616,61310,63379,32.51,33.6,2009
1880,Paperboard containers and boxes,149000,120608,28752,31612,23.84,26.21,2009
1890,Miscellaneous paper and pulp products,86000,63439,5252,5521,8.28,8.7,2009
1990,Printing and related support activities,719000,516857,24482,28471,4.74,5.51,2009
2070,Petroleum refining,230000,178518,35840,37781,20.08,21.16,2009
2090,Miscellaneous petroleum and coal products,21000,14587,0,0,0.0,0.0,2009
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",227000,176095,6545,6545,3.72,3.72,2009
2180,Agricultural chemical manufacturing,49000,28701,0,383,0.0,1.34,2009
2190,Pharmaceutical and medicine manufacturing,575000,458059,12135,14129,2.65,3.08,2009
2270,"Paint, coating, and adhesive manufacturing",65000,52108,3551,3551,6.82,6.82,2009
2280,"Soap, cleaning compound, and cosmetics manufacturing",157000,134472,4022,6247,2.99,4.65,2009
2290,Industrial and miscellaneous chemicals,485000,375116,37893,40993,10.1,10.93,2009
2370,Plastics product manufacturing,412000,306073,22067,25483,7.21,8.33,2009
2380,Tire manufacturing,72000,58220,17366,17366,29.83,29.83,2009
2390,"Rubber products, except tires, manufacturing",85000,67325,5224,5224,7.76,7.76,2009
5000,DURABLE GOODS MANUFACTURING,11321000,8535890,933764,1015414,10.94,11.9,2009
2470,"Pottery, ceramics, and related products manufacturing",31000,20505,3083,3083,15.04,15.04,2009
2480,Structural clay product manufacturing,56000,41745,5858,7340,14.03,17.58,2009
2490,Glass and glass product manufacturing,176000,141743,30443,30443,21.48,21.48,2009
2570,"Cement, concrete, lime, and gypsum product manufacturing",241000,179809,25842,28201,14.37,15.68,2009
2590,Miscellaneous nonmetallic mineral product manufacturing,116000,77562,11314,12440,14.59,16.04,2009
2670,Iron and steel mills and steel product manufacturing,351000,283140,71844,72913,25.37,25.75,2009
2680,Aluminum production and processing,70000,56795,13965,13965,24.59,24.59,2009
2690,"Nonferrous metal, except aluminum, production and processing",67000,52663,13303,14416,25.26,27.38,2009
2770,Foundries,82000,63977,15386,17393,24.05,27.19,2009
2780,Metal forgings and stampings,52000,38363,720,720,1.88,1.88,2009
2790,Cutlery and hand tool manufacturing,44000,31644,2904,2904,9.18,9.18,2009
