cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,AGRICULTURE,2699000,1765433,42445,47656,2.4,2.7,2002
10,"Agricultural production, crops ",707000,478668,11546,11911,2.41,2.49,2002
11,"Agricultural production, livestock ",681000,360216,3388,5216,0.94,1.45,2002
12,Veterinary services ,292000,180201,811,1350,0.45,0.75,2002
20,Landscape and horticultural services ,826000,589830,25805,28283,4.38,4.8,2002
30,"Agricultural services, n.e.c. ",193000,156515,893,893,0.57,0.57,2002
2000,FORESTRY AND FISHERIES,221000,97544,9761,12900,10.01,13.22,2002
31,Forestry ,146000,59051,7142,9577,12.1,16.22,2002
32,"Fishing, hunting, and trapping ",75000,38492,2618,3322,6.8,8.63,2002
3000,MINING,11898000,7631028,1384863,1444400,18.15,18.93,2002
40,Metal mining ,123000,41417,8195,9747,19.79,23.54,2002
41,Coal mining ,217000,87131,18390,19626,21.11,22.53,2002
42,Oil and gas extraction ,499000,261190,4960,6225,1.9,2.38,2002
50,"Nonmetallic mining and quarrying, except fuel ",151000,67262,6950,9814,10.33,14.59,2002
60,CONSTRUCTION ,10908000,7174026,1346366,1398985,18.77,19.5,2002
4000,"MANUFACTURING, NONDURABLE GOODS",10101000,6824562,856574,914660,12.55,13.4,2002
100,Meat products ,736000,430199,84226,91608,19.58,21.29,2002
101,Dairy products ,216000,118968,24510,24510,20.6,20.6,2002
102,"Canned, frozen and preserved fruits and vegetables ",253000,150576,30046,30883,19.95,20.51,2002
110,Grain mill products ,253000,170020,23916,24310,14.07,14.3,2002
111,Bakery products ,261000,184209,36173,37075,19.64,20.13,2002
112,Sugar and confectionery products ,173000,111025,23027,24372,20.74,21.95,2002
120,Beverage industries ,268000,198246,37533,39947,18.93,20.15,2002
121,Miscellaneous food preparations and kindred products ,282000,185171,25796,26661,13.93,14.4,2002
122,Not specified food industries,12000,8227,770,770,9.37,9.37,2002
130,Tobacco manufactures ,55000,46412,10826,12316,23.33,26.54,2002
132,Knitting mills ,65000,49635,0,0,0.0,0.0,2002
140,"Dyeing and finishing textiles, except wool and knit goods ",40000,29216,2216,2216,7.59,7.59,2002
141,Carpets and rugs ,79000,80372,995,995,1.24,1.24,2002
142,"Yarn, thread, and fabric mills ",288000,209101,8546,8546,4.09,4.09,2002
150,Miscellaneous textile mill products ,60000,44236,7341,7341,16.6,16.6,2002
151,"Apparel and accessories, except knit ",505000,383013,28164,30630,7.35,8.0,2002
152,Miscellaneous fabricated textile products ,160000,120286,10527,11143,8.75,9.26,2002
160,"Pulp, paper, and paperboard mills ",355000,227725,87001,88832,38.2,39.01,2002
161,Miscellaneous paper and pulp products ,243000,169151,26169,26169,15.47,15.47,2002
162,Paperboard containers and boxes ,264000,176262,34011,37002,19.3,20.99,2002
171,Newspaper publishing and printing ,761000,482689,58672,66892,12.16,13.86,2002
172,"Printing, publishing, and allied industries, except newspapers ",1584000,1077376,56349,62565,5.23,5.81,2002
180,"Plastics, synthetics, and resins ",215000,140669,18161,19141,12.91,13.61,2002
181,Drugs ,615000,424398,19422,22557,4.58,5.32,2002
182,Soaps and cosmetics ,217000,153117,11905,13773,7.78,9.0,2002
