cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1681000,1180865,27462,34519,2.33,2.92,2010
170,Crop production,738000,569056,7182,8542,1.26,1.5,2010
180,Animal production,561000,346517,6123,7427,1.77,2.14,2010
190,Forestry except logging,66000,39595,3827,5535,9.67,13.98,2010
270,Logging,98000,70179,1646,3110,2.35,4.43,2010
280,"Fishing, hunting, and trapping",45000,20098,812,812,4.04,4.04,2010
290,Support activities for agriculture and forestry,173000,135419,7868,9091,5.81,6.71,2010
2000,MINING,1206000,696266,55483,61033,7.97,8.77,2010
370,Oil and gas extraction,115000,73411,468,468,0.64,0.64,2010
380,Coal mining,234000,96092,18211,18682,18.95,19.44,2010
390,Metal ore mining,68000,33549,11555,13287,34.44,39.6,2010
470,Nonmetallic mineral mining and quarrying,133000,67782,10942,12973,16.14,19.14,2010
480,Not specified type of mining,17000,8295,1049,1049,12.65,12.65,2010
490,Support activities for mining,639000,417135,13257,14572,3.18,3.49,2010
3000,UTILITIES,10257000,7797320,1333764,1407986,17.11,18.06,2010
570,"Electric power generation, transmission and distribution",949000,676635,209895,221649,31.02,32.76,2010
580,Natural gas distribution,134000,97768,23349,27985,23.88,28.62,2010
590,"Electric and gas, and other combinations",108000,89072,34367,35848,38.58,40.25,2010
670,"Water, steam, air-conditioning, and irrigation systems",323000,247416,68875,72022,27.84,29.11,2010
680,Sewage treatment facilities,156000,110231,41207,46855,37.38,42.51,2010
690,Not specified utilities,36000,26234,2340,2340,8.92,8.92,2010
770,CONSTRUCTION,8551000,6549962,953729,1001284,14.56,15.29,2010
4000,NONDURABLE GOODS MANUFACTURING,6656000,5004451,585217,631570,11.69,12.62,2010
1070,"Animal food, grain and oilseed milling",232000,153535,16959,19456,11.05,12.67,2010
1080,Sugar and confectionery products,111000,82632,14981,17506,18.13,21.19,2010
1090,Fruit and vegetable preserving and specialty food manufacturing,221000,163948,30307,32541,18.49,19.85,2010
1170,Dairy product manufacturing,224000,147494,26735,28794,18.13,19.52,2010
1180,Animal slaughtering and processing,689000,454964,98650,104552,21.68,22.98,2010
1190,Retail bakeries,241000,180803,15804,15804,8.74,8.74,2010
1270,"Bakeries, except retail",245000,203439,35961,40193,17.68,19.76,2010
1280,"Seafood and other miscellaneous foods, n.e.c.",232000,165730,11561,11561,6.98,6.98,2010
1290,Not specified food industries,83000,62771,11222,11687,17.88,18.62,2010
1370,Beverage manufacturing,304000,251675,41793,44486,16.61,17.68,2010
