cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1830000,1157724,26401,35389,2.28,3.06,2003
170,Crop production,643000,474182,8227,9071,1.73,1.91,2003
180,Animal production,716000,395726,3854,5321,0.97,1.34,2003
190,Forestry except logging,118000,55314,6403,9220,11.58,16.67,2003
270,Logging,133000,72487,5275,6374,7.28,8.79,2003
280,"Fishing, hunting, and trapping",56000,25180,1425,1609,5.66,6.39,2003
290,Support activities for agriculture and forestry,164000,134832,1215,3791,0.9,2.81,2003
2000,MINING,995000,504430,45764,53109,9.07,10.53,2003
370,Oil and gas extraction,105000,67614,8149,8149,12.05,12.05,2003
380,Coal mining,173000,78515,18549,19311,23.62,24.6,2003
390,Metal ore mining,89000,33247,7307,8788,21.98,26.43,2003
470,Nonmetallic mineral mining and quarrying,200000,99010,6658,10153,6.72,10.25,2003
480,Not specified type of mining,12000,4971,658,658,13.24,13.24,2003
490,Support activities for mining,416000,221070,4441,6049,2.01,2.74,2003
3000,UTILITIES,12763000,8829734,1699786,1792721,19.25,20.3,2003
570,"Electric power generation, transmission and distribution",956000,604637,189016,200735,31.26,33.2,2003
580,Natural gas distribution,208000,136224,32137,34503,23.59,25.33,2003
590,"Electric and gas, and other combinations",127000,99684,40841,41387,40.97,41.52,2003
670,"Water, steam, air-conditioning, and irrigation systems",337000,236588,64886,69030,27.43,29.18,2003
680,Sewage treatment facilities,168000,103635,30278,33265,29.22,32.1,2003
690,Not specified utilities,24000,18610,7375,7375,39.63,39.63,2003
770,CONSTRUCTION,10943000,7630352,1335250,1406423,17.5,18.43,2003
4000,NONDURABLE GOODS MANUFACTURING,8653000,6098509,765630,821529,12.55,13.47,2003
1070,"Animal food, grain and oilseed milling",235000,153643,28300,29647,18.42,19.3,2003
1080,Sugar and confectionery products,153000,97761,14585,15387,14.92,15.74,2003
1090,Fruit and vegetable preserving and specialty food manufacturing,207000,134994,24966,26770,18.49,19.83,2003
1170,Dairy product manufacturing,226000,137004,28348,29054,20.69,21.21,2003
1180,Animal slaughtering and processing,707000,447146,72045,80199,16.11,17.94,2003
1190,Retail bakeries,192000,132926,17382,18572,13.08,13.97,2003
1270,"Bakeries, except retail",292000,221355,38919,40829,17.58,18.45,2003
1280,"Seafood and other miscellaneous foods, n.e.c.",332000,215075,28236,28236,13.13,13.13,2003
1290,Not specified food industries,14000,11028,1197,1197,10.86,10.86,2003
1370,Beverage manufacturing,258000,194435,27919,31473,14.36,16.19,2003
1390,Tobacco manufacturing,44000,37500,7865,7865,20.97,20.97,2003
1470,"Fiber, yarn, and thread mills",37000,33350,145,145,0.44,0.44,2003
1480,"Fabric mills, except knitting",236000,184420,11931,11931,6.47,6.47,2003
1490,Textile and fabric finishing and coating mills,48000,32052,2782,4133,8.68,12.89,2003
1570,Carpet and rug mills,68000,75673,4526,4526,5.98,5.98,2003
1590,"Textile product mills, except carpets and rugs",175000,126028,6846,7969,5.43,6.32,2003
1670,Knitting mills,40000,30545,0,0,0.0,0.0,2003
1680,Cut and sew apparel manufacturing,468000,375355,27410,29164,7.3,7.77,2003
