cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1602000,1146827,19587,24192,1.71,2.11,2013
170,Crop production,707000,558763,6078,6700,1.09,1.2,2013
180,Animal production,519000,325852,3809,3809,1.17,1.17,2013
190,Forestry except logging,77000,38179,4194,6567,10.99,17.2,2013
270,Logging,79000,53677,1023,2226,1.91,4.15,2013
280,"Fishing, hunting, and trapping",41000,21644,1927,1927,8.9,8.9,2013
290,Support activities for agriculture and forestry,179000,148710,2553,2962,1.72,1.99,2013
2000,MINING,1602000,1032244,56445,68170,5.47,6.6,2013
370,Oil and gas extraction,150000,110680,4032,5412,3.64,4.89,2013
380,Coal mining,198000,78559,10946,11449,13.93,14.57,2013
390,Metal ore mining,101000,51365,8122,10623,15.81,20.68,2013
470,Nonmetallic mineral mining and quarrying,188000,114406,18124,19403,15.84,16.96,2013
490,Support activities for mining,965000,677231,15220,21281,2.25,3.14,2013
3000,UTILITIES,10314000,8095988,1378265,1456464,17.02,17.99,2013
570,"Electric power generation, transmission and distribution",843000,594248,162319,174667,27.32,29.39,2013
580,Natural gas distribution,169000,127477,32869,33506,25.78,26.28,2013
590,"Electric and gas, and other combinations",128000,108353,29781,31177,27.49,28.77,2013
670,"Water, steam, air-conditioning, and irrigation systems",308000,246031,53902,57043,21.91,23.19,2013
680,Sewage treatment facilities,126000,99353,35415,35415,35.65,35.65,2013
690,Not specified utilities,30000,21890,5340,5340,24.4,24.4,2013
770,CONSTRUCTION,8710000,6898633,1058637,1119313,15.35,16.23,2013
4000,NONDURABLE GOODS MANUFACTURING,6738000,5276364,551755,605913,10.46,11.48,2013
1070,"Animal food, grain and oilseed milling",216000,140017,19638,20127,14.03,14.37,2013
1080,Sugar and confectionery products,89000,69711,13690,13870,19.64,19.9,2013
1090,Fruit and vegetable preserving and specialty food manufacturing,210000,164419,27591,31747,16.78,19.31,2013
1170,Dairy product manufacturing,222000,152509,19764,23198,12.96,15.21,2013
1180,Animal slaughtering and processing,728000,491244,85107,92523,17.32,18.83,2013
1190,Retail bakeries,290000,218768,22227,23177,10.16,10.59,2013
1270,"Bakeries, except retail",242000,197325,20479,22221,10.38,11.26,2013
1280,"Seafood and other miscellaneous foods, n.e.c.",236000,176444,19527,20582,11.07,11.67,2013
1290,Not specified food industries,69000,49456,7868,7868,15.91,15.91,2013
1370,Beverage manufacturing,289000,255412,38154,42725,14.94,16.73,2013
1390,Tobacco manufacturing,22000,21299,1834,1834,8.62,8.62,2013
1470,"Fiber, yarn, and thread mills",11000,11203,748,748,6.68,6.68,2013
1480,"Fabric mills, except knitting",115000,102685,3701,3701,3.6,3.6,2013
1490,Textile and fabric finishing and coating mills,18000,9381,0,0,0.0,0.0,2013
1570,Carpet and rug mills,47000,48285,749,749,1.55,1.55,2013
1590,"Textile product mills, except carpets and rugs",76000,55570,2311,2311,4.16,4.16,2013
1670,Knitting mills,15000,15217,0,0,0.0,0.0,2013
1680,Cut and sew apparel manufacturing,245000,226919,10237,11176,4.51,4.93,2013
1690,Apparel accessories and other apparel manufacturing,8000,6330,0,0,0.0,0.0,2013
1770,Footwear manufacturing,32000,24776,565,565,2.28,2.28,2013
1790,"Leather tanning and products, except footwear manufacturing",27000,18105,0,1143,0.0,6.31,2013
1870,"Pulp, paper, and paperboard mills",249000,188479,53298,58139,28.28,30.85,2013
1880,Paperboard containers and boxes,124000,104086,14685,16349,14.11,15.71,2013
1890,Miscellaneous paper and pulp products,117000,83992,10388,11887,12.37,14.15,2013
1990,Printing and related support activities,673000,520690,24980,28388,4.8,5.45,2013
2070,Petroleum refining,221000,181256,33994,35633,18.75,19.66,2013
2090,Miscellaneous petroleum and coal products,17000,12831,974,974,7.59,7.59,2013
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",224000,180652,14464,15863,8.01,8.78,2013
2180,Agricultural chemical manufacturing,43000,27668,1983,1983,7.17,7.17,2013
2190,Pharmaceutical and medicine manufacturing,534000,437804,12807,15111,2.93,3.45,2013
2270,"Paint, coating, and adhesive manufacturing",66000,55241,4928,4928,8.92,8.92,2013
2280,"Soap, cleaning compound, and cosmetics manufacturing",153000,125490,5423,9836,4.32,7.84,2013
2290,Industrial and miscellaneous chemicals,484000,384856,41872,45129,10.88,11.73,2013
2370,Plastics product manufacturing,429000,342025,18060,21213,5.28,6.2,2013
2380,Tire manufacturing,99000,95018,18462,18462,19.43,19.43,2013
2390,"Rubber products, except tires, manufacturing",98000,81186,1232,1737,1.52,2.14,2013
5000,DURABLE GOODS MANUFACTURING,11283000,9022164,903735,979157,10.02,10.85,2013
2470,"Pottery, ceramics, and related products manufacturing",27000,22276,2823,2823,12.68,12.68,2013
