cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1748000,1111961,32772,35891,2.95,3.23,2006
170,Crop production,630000,444509,11357,13055,2.56,2.94,2006
180,Animal production,698000,410567,7288,7288,1.78,1.78,2006
190,Forestry except logging,105000,52624,3878,4408,7.37,8.38,2006
270,Logging,122000,70480,4169,4169,5.92,5.92,2006
280,"Fishing, hunting, and trapping",44000,20302,0,0,0.0,0.0,2006
290,Support activities for agriculture and forestry,149000,113477,6079,6970,5.36,6.14,2006
2000,MINING,1213000,633712,47654,55757,7.52,8.8,2006
370,Oil and gas extraction,150000,93765,1054,2121,1.12,2.26,2006
380,Coal mining,268000,97719,21519,22554,22.02,23.08,2006
390,Metal ore mining,75000,29988,5670,7865,18.91,26.23,2006
470,Nonmetallic mineral mining and quarrying,194000,102527,15867,17180,15.48,16.76,2006
480,Not specified type of mining,6000,3202,0,0,0.0,0.0,2006
490,Support activities for mining,520000,306509,3541,6035,1.16,1.97,2006
3000,UTILITIES,13758000,10059016,1608785,1684343,15.99,16.74,2006
570,"Electric power generation, transmission and distribution",912000,627060,189749,198685,30.26,31.69,2006
580,Natural gas distribution,196000,132754,33130,33311,24.96,25.09,2006
590,"Electric and gas, and other combinations",95000,71784,31161,31161,43.41,43.41,2006
670,"Water, steam, air-conditioning, and irrigation systems",311000,222642,63556,69050,28.55,31.01,2006
680,Sewage treatment facilities,158000,110097,37693,37798,34.24,34.33,2006
690,Not specified utilities,20000,17502,6972,6972,39.84,39.84,2006
770,CONSTRUCTION,12066000,8877175,1246521,1307364,14.04,14.73,2006
4000,NONDURABLE GOODS MANUFACTURING,7574000,5590212,641532,690362,11.48,12.35,2006
1070,"Animal food, grain and oilseed milling",211000,131303,25226,25226,19.21,19.21,2006
1080,Sugar and confectionery products,107000,77041,18422,18801,23.91,24.4,2006
1090,Fruit and vegetable preserving and specialty food manufacturing,222000,151052,29464,31275,19.51,20.7,2006
1170,Dairy product manufacturing,232000,141303,24630,26255,17.43,18.58,2006
1180,Animal slaughtering and processing,739000,465920,87483,94893,18.78,20.37,2006
1190,Retail bakeries,174000,126687,12553,13486,9.91,10.65,2006
1270,"Bakeries, except retail",217000,163397,34906,36049,21.36,22.06,2006
1280,"Seafood and other miscellaneous foods, n.e.c.",258000,185081,21775,21775,11.77,11.77,2006
1290,Not specified food industries,25000,17822,1959,3454,10.99,19.38,2006
1370,Beverage manufacturing,261000,198918,23506,28926,11.82,14.54,2006
1390,Tobacco manufacturing,35000,32227,6824,9631,21.18,29.88,2006
1470,"Fiber, yarn, and thread mills",32000,26389,0,0,0.0,0.0,2006
1480,"Fabric mills, except knitting",148000,114103,3754,3754,3.29,3.29,2006
1490,Textile and fabric finishing and coating mills,52000,38365,1339,1339,3.49,3.49,2006
1570,Carpet and rug mills,75000,70681,979,979,1.39,1.39,2006
1590,"Textile product mills, except carpets and rugs",137000,105953,3172,4221,2.99,3.98,2006
1670,Knitting mills,30000,22879,0,0,0.0,0.0,2006
1680,Cut and sew apparel manufacturing,334000,300628,12623,15780,4.2,5.25,2006
1690,Apparel accessories and other apparel manufacturing,15000,12557,0,0,0.0,0.0,2006
1770,Footwear manufacturing,68000,39562,3937,3937,9.95,9.95,2006
1790,"Leather tanning and products, except footwear manufacturing",42000,33850,1132,1132,3.35,3.35,2006
1870,"Pulp, paper, and paperboard mills",292000,199132,63934,66159,32.11,33.22,2006
1880,Paperboard containers and boxes,204000,160546,31112,31584,19.38,19.67,2006
1890,Miscellaneous paper and pulp products,130000,95776,12856,12856,13.42,13.42,2006
1990,Printing and related support activities,886000,652430,38933,39930,5.97,6.12,2006
2070,Petroleum refining,162000,133432,26851,31372,20.12,23.51,2006
2090,Miscellaneous petroleum and coal products,25000,18503,4050,4050,21.89,21.89,2006
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",157000,120863,7383,8376,6.11,6.93,2006
2180,Agricultural chemical manufacturing,43000,28115,2286,2286,8.13,8.13,2006
2190,Pharmaceutical and medicine manufacturing,531000,406644,16890,19837,4.15,4.88,2006
2270,"Paint, coating, and adhesive manufacturing",87000,70942,5003,5003,7.05,7.05,2006
2280,"Soap, cleaning compound, and cosmetics manufacturing",170000,131137,5448,7928,4.15,6.05,2006
2290,Industrial and miscellaneous chemicals,563000,417373,43743,45848,10.48,10.99,2006
2370,Plastics product manufacturing,678000,521144,37219,41074,7.14,7.88,2006
2380,Tire manufacturing,120000,101658,28793,29800,28.32,29.31,2006
2390,"Rubber products, except tires, manufacturing",112000,76783,3330,3330,4.34,4.34,2006
5000,DURABLE GOODS MANUFACTURING,13496000,10134924,1208905,1285347,11.93,12.68,2006
2470,"Pottery, ceramics, and related products manufacturing",29000,19480,1312,1312,6.74,6.74,2006
2480,Structural clay product manufacturing,42000,32031,2450,2450,7.65,7.65,2006
2490,Glass and glass product manufacturing,169000,142424,29665,30905,20.83,21.7,2006
2570,"Cement, concrete, lime, and gypsum product manufacturing",290000,211083,29104,29104,13.79,13.79,2006
2590,Miscellaneous nonmetallic mineral product manufacturing,116000,82256,9053,9053,11.01,11.01,2006
2670,Iron and steel mills and steel product manufacturing,331000,276623,70544,72910,25.5,26.36,2006
2680,Aluminum production and processing,82000,71618,19655,19655,27.44,27.44,2006
2690,"Nonferrous metal, except aluminum, production and processing",65000,48987,8436,8436,17.22,17.22,2006
2770,Foundries,133000,104870,21613,23926,20.61,22.82,2006
2780,Metal forgings and stampings,109000,86012,9470,10372,11.01,12.06,2006
2790,Cutlery and hand tool manufacturing,69000,50169,4238,4238,8.45,8.45,2006
2870,"Structural metals, and tank and shipping container manufacturing",562000,387758,54326,56239,14.01,14.5,2006
2880,"Machine shops; turned product; screw, nut and bolt manufacturing",440000,334596,25445,25819,7.6,7.72,2006
2890,"Coating, engraving, heat treating and allied activities",133000,90583,3908,3908,4.31,4.31,2006
2970,Ordnance,80000,41444,5158,5336,12.45,12.88,2006
2980,Miscellaneous fabricated metal products manufacturing,381000,282006,31763,32263,11.26,11.44,2006
2990,Not specified metal industries,14000,9895,497,1404,5.03,14.19,2006
3070,Agricultural implement manufacturing,159000,89900,9351,10319,10.4,11.48,2006
3080,"Construction, mining and oil field machinery manufacturing",185000,126539,9309,10838,7.36,8.57,2006
3090,Commercial and service industry machinery manufacturing,156000,106608,6040,6040,5.67,5.67,2006
3170,Metalworking machinery manufacturing,211000,156987,12530,12530,7.98,7.98,2006
3180,"Engines, turbines, and power transmission equipment manufacturing",101000,78873,13312,13983,16.88,17.73,2006
