cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,AGRICULTURE,2455000,1671097,28226,34261,1.69,2.05,2001
10,"Agricultural production, crops ",705000,494584,14749,14904,2.98,3.01,2001
11,"Agricultural production, livestock ",607000,345027,2270,3422,0.66,0.99,2001
12,Veterinary services ,264000,176345,2134,2548,1.21,1.45,2001
20,Landscape and horticultural services ,732000,542589,8297,12492,1.53,2.3,2001
30,"Agricultural services, n.e.c. ",147000,112550,774,892,0.69,0.79,2001
2000,FORESTRY AND FISHERIES,206000,91556,17496,19950,19.11,21.79,2001
31,Forestry ,144000,63145,15391,17182,24.37,27.21,2001
32,"Fishing, hunting, and trapping ",62000,28410,2104,2768,7.41,9.74,2001
3000,MINING,11351000,7859513,1486979,1545592,18.92,19.67,2001
40,Metal mining ,94000,35770,10667,11351,29.82,31.73,2001
41,Coal mining ,199000,82894,24980,24980,30.14,30.14,2001
42,Oil and gas extraction ,596000,320951,13332,14674,4.15,4.57,2001
50,"Nonmetallic mining and quarrying, except fuel ",175000,90811,16773,19096,18.47,21.03,2001
60,CONSTRUCTION ,10287000,7329084,1421224,1475489,19.39,20.13,2001
4000,"MANUFACTURING, NONDURABLE GOODS",9757000,7105411,984843,1046765,13.86,14.73,2001
100,Meat products ,653000,439128,86406,94687,19.68,21.56,2001
101,Dairy products ,212000,134834,18028,18884,13.37,14.01,2001
102,"Canned, frozen and preserved fruits and vegetables ",269000,184763,50398,52435,27.28,28.38,2001
110,Grain mill products ,195000,138601,20372,23149,14.7,16.7,2001
111,Bakery products ,289000,210623,40184,43549,19.08,20.68,2001
112,Sugar and confectionery products ,141000,96698,23626,23971,24.43,24.79,2001
120,Beverage industries ,228000,178129,36674,38051,20.59,21.36,2001
121,Miscellaneous food preparations and kindred products ,259000,170176,22700,24768,13.34,14.55,2001
122,Not specified food industries,15000,9601,0,0,0.0,0.0,2001
130,Tobacco manufactures ,60000,53349,14133,15059,26.49,28.23,2001
132,Knitting mills ,90000,68808,1208,1208,1.76,1.76,2001
140,"Dyeing and finishing textiles, except wool and knit goods ",39000,32484,2663,3606,8.2,11.1,2001
141,Carpets and rugs ,86000,93298,5684,5684,6.09,6.09,2001
142,"Yarn, thread, and fabric mills ",287000,245612,13863,13863,5.64,5.64,2001
150,Miscellaneous textile mill products ,63000,43348,1660,1660,3.83,3.83,2001
151,"Apparel and accessories, except knit ",542000,415144,29206,32606,7.04,7.85,2001
152,Miscellaneous fabricated textile products ,176000,127899,12425,12425,9.71,9.71,2001
160,"Pulp, paper, and paperboard mills ",315000,216983,97254,100289,44.82,46.22,2001
161,Miscellaneous paper and pulp products ,236000,175313,37050,37647,21.13,21.47,2001
162,Paperboard containers and boxes ,254000,189667,45207,48272,23.84,25.45,2001
171,Newspaper publishing and printing ,694000,473683,44725,50984,9.44,10.76,2001
172,"Printing, publishing, and allied industries, except newspapers ",1560000,1140562,81297,90519,7.13,7.94,2001
180,"Plastics, synthetics, and resins ",205000,138702,21047,21601,15.17,15.57,2001
181,Drugs ,542000,390155,17155,20349,4.4,5.22,2001
182,Soaps and cosmetics ,212000,163096,7203,7780,4.42,4.77,2001
190,"Paints, varnishes, and related products ",75000,58760,11109,11868,18.91,20.2,2001
191,Agricultural chemicals ,65000,43112,1316,2663,3.05,6.18,2001
192,Industrial and miscellaneous chemicals ,598000,431663,74769,77485,17.32,17.95,2001
200,Petroleum refining ,187000,143699,26267,27498,18.28,19.14,2001
201,Miscellaneous petroleum and coal products ,31000,25159,4664,4664,18.54,18.54,2001
210,Tires and inner tubes ,134000,107458,42388,43708,39.45,40.68,2001
211,"Other rubber products, and plastics footwear and belting ",175000,124551,15841,15841,12.72,12.72,2001
212,Miscellaneous plastics products ,746000,555836,65025,66695,11.7,12.0,2001
220,Leather tanning and finishing ,19000,13735,5328,5328,38.79,38.79,2001
221,"Footwear, except rubber and plastic ",62000,39073,4270,4270,10.93,10.93,2001
222,"Leather products, except footwear ",43000,31691,3681,3681,11.62,11.62,2001
5000,"MANUFACTURING, DURABLE GOODS",15025000,11115382,1693780,1784108,15.24,16.05,2001
230,Logging ,103000,62444,3334,4363,5.34,6.99,2001
231,"Sawmills, planing mills, and millwork ",507000,353100,31717,32098,8.98,9.09,2001
232,Wood buildings and mobile homes ,79000,60678,426,426,0.7,0.7,2001
241,Miscellaneous wood products ,184000,119597,6451,6451,5.39,5.39,2001
242,Furniture and fixtures ,758000,569606,44810,49641,7.87,8.72,2001
250,Glass and glass products ,201000,164654,38743,40164,23.53,24.39,2001
251,"Cement, concrete, gypsum, and plaster products ",301000,208295,29869,33829,14.34,16.24,2001
252,Structural clay products ,39000,35149,5803,6129,16.51,17.44,2001
261,Pottery and related products ,38000,28546,7583,7583,26.56,26.56,2001
262,Miscellaneous nonmetallic mineral and stone products ,130000,94529,16466,17931,17.42,18.97,2001
270,"Blast furnaces, steelworks, rolling and finishing mills ",420000,313035,127757,129246,40.81,41.29,2001
271,Iron and steel foundries ,118000,86079,32800,33274,38.1,38.66,2001
272,Primary aluminum industries ,152000,121533,37535,39452,30.89,32.46,2001
280,Other primary metal industries ,275000,205241,34784,37068,16.95,18.06,2001
281,"Cutlery, handtools, and general hardware ",165000,121489,13920,16045,11.46,13.21,2001
282,Fabricated structural metal products ,774000,564963,74059,78527,13.11,13.9,2001
290,Screw machine products ,75000,57270,6912,6912,12.07,12.07,2001
291,Metal forgings and stampings ,163000,126122,28453,29208,22.56,23.16,2001
292,Ordnance ,59000,32981,5218,5218,15.82,15.82,2001
300,Miscellaneous fabricated metal products ,432000,345536,59956,60793,17.35,17.59,2001
301,Not specified metal industries,6000,5960,0,0,0.0,0.0,2001
310,Engines and turbines ,74000,56919,18440,19729,32.4,34.66,2001
311,Farm machinery and equipment ,164000,89356,16047,17564,17.96,19.66,2001
312,Construction and material handling machines ,276000,208828,37949,39041,18.17,18.7,2001
320,Metalworking machinery ,401000,300111,23247,24044,7.75,8.01,2001
321,Office and accounting machines ,42000,28765,3154,3154,10.96,10.96,2001
322,Computers and related equipment ,651000,507441,10161,14017,2.0,2.76,2001
331,"Machinery, except electrical, n.e.c. ",1466000,1070297,121935,125842,11.39,11.76,2001
332,Not specified machinery,4000,2851,1526,1526,53.53,53.53,2001
340,Household appliances ,139000,110202,22977,27323,20.85,24.79,2001
341,"Radio, TV, and communication equipment ",518000,415840,20627,23458,4.96,5.64,2001
342,"Electrical machinery, equipment, and supplies, n.e.c. ",1679000,1215830,100231,109564,8.24,9.01,2001
350,"Not specified electrical machinery, equipment, and supplies",24000,22553,1528,1528,6.78,6.78,2001
351,Motor vehicles and motor vehicle equipment ,1489000,1152165,422992,430509,36.71,37.37,2001
352,Aircraft and parts ,537000,391802,111999,119708,28.59,30.55,2001
360,Ship and boat building and repairing ,261000,177290,32478,37653,18.32,21.24,2001
361,Railroad locomotives and equipment ,31000,22038,7418,7418,33.66,33.66,2001
362,"Guided missiles, space vehicles, and parts ",304000,239409,32592,38242,13.61,15.97,2001
370,Cycles and miscellaneous transportation equipment ,101000,72471,9623,9623,13.28,13.28,2001
371,Scientific and controlling instruments ,288000,214546,11327,11327,5.28,5.28,2001
372,"Medical, dental, and optical instruments and supplies ",554000,416615,19790,23117,4.75,5.55,2001
380,Photographic equipment and supplies ,99000,72309,5177,5763,7.16,7.97,2001
