cic,industry,obs,employment,members,covered,percentmem,percentcov,year
1000,"AGRICULTURE, FORESTRY, FISHING, & HUNTING",1700000,1076023,34577,38378,3.21,3.57,2005
170,Crop production,686000,490194,14236,16854,2.9,3.44,2005
180,Animal production,608000,343779,4562,4562,1.33,1.33,2005
190,Forestry except logging,97000,46884,3444,4522,7.35,9.64,2005
270,Logging,128000,77475,4601,4601,5.94,5.94,2005
280,"Fishing, hunting, and trapping",46000,23546,1405,1405,5.97,5.97,2005
290,Support activities for agriculture and forestry,135000,94142,6326,6431,6.72,6.83,2005
2000,MINING,1093000,603476,47846,57261,7.93,9.49,2005
370,Oil and gas extraction,142000,87002,1659,1659,1.91,1.91,2005
380,Coal mining,225000,78863,20929,22538,26.54,28.58,2005
390,Metal ore mining,42000,17068,3769,5055,22.09,29.62,2005
470,Nonmetallic mineral mining and quarrying,170000,98077,15130,16921,15.43,17.25,2005
480,Not specified type of mining,12000,5148,1173,1952,22.8,37.92,2005
490,Support activities for mining,502000,317318,5184,9135,1.63,2.88,2005
3000,UTILITIES,13443000,9691293,1548748,1642935,15.98,16.95,2005
570,"Electric power generation, transmission and distribution",905000,601705,182780,194890,30.38,32.39,2005
580,Natural gas distribution,171000,118784,35678,35949,30.04,30.26,2005
590,"Electric and gas, and other combinations",112000,84496,25372,27168,30.03,32.15,2005
670,"Water, steam, air-conditioning, and irrigation systems",350000,249411,60816,66979,24.38,26.86,2005
680,Sewage treatment facilities,174000,110852,32422,34376,29.25,31.01,2005
690,Not specified utilities,19000,13174,2476,2896,18.8,21.99,2005
770,CONSTRUCTION,11712000,8512869,1209202,1280673,14.2,15.04,2005
4000,NONDURABLE GOODS MANUFACTURING,7859000,5696319,710550,750675,12.47,13.18,2005
1070,"Animal food, grain and oilseed milling",202000,122141,19863,19863,16.26,16.26,2005
1080,Sugar and confectionery products,113000,72139,15057,17164,20.87,23.79,2005
1090,Fruit and vegetable preserving and specialty food manufacturing,219000,161909,39877,40768,24.63,25.18,2005
1170,Dairy product manufacturing,226000,132867,21050,21787,15.84,16.4,2005
1180,Animal slaughtering and processing,751000,448555,84295,93537,18.79,20.85,2005
1190,Retail bakeries,209000,145515,16870,17885,11.59,12.29,2005
1270,"Bakeries, except retail",218000,157360,28030,29406,17.81,18.69,2005
1280,"Seafood and other miscellaneous foods, n.e.c.",264000,179529,20646,21802,11.5,12.14,2005
1290,Not specified food industries,20000,14124,1339,3326,9.49,23.55,2005
1370,Beverage manufacturing,317000,250722,41372,41372,16.5,16.5,2005
1390,Tobacco manufacturing,40000,34814,9031,9031,25.94,25.94,2005
1470,"Fiber, yarn, and thread mills",56000,49571,643,643,1.3,1.3,2005
1480,"Fabric mills, except knitting",174000,134165,4333,4484,3.23,3.34,2005
1490,Textile and fabric finishing and coating mills,46000,36454,1532,1532,4.2,4.2,2005
1570,Carpet and rug mills,73000,68463,7028,7028,10.27,10.27,2005
1590,"Textile product mills, except carpets and rugs",171000,137444,14217,15258,10.34,11.1,2005
1670,Knitting mills,44000,35138,1254,1254,3.57,3.57,2005
1680,Cut and sew apparel manufacturing,356000,297629,15697,16642,5.27,5.59,2005
1690,Apparel accessories and other apparel manufacturing,28000,23653,2360,2360,9.98,9.98,2005
1770,Footwear manufacturing,53000,33999,4295,4295,12.63,12.63,2005
1790,"Leather tanning and products, except footwear manufacturing",55000,42087,2717,2717,6.46,6.46,2005
1870,"Pulp, paper, and paperboard mills",316000,219939,77447,81263,35.21,36.95,2005
1880,Paperboard containers and boxes,190000,156401,28218,28218,18.04,18.04,2005
1890,Miscellaneous paper and pulp products,161000,108437,12956,14800,11.95,13.65,2005
1990,Printing and related support activities,979000,686952,38999,42035,5.68,6.12,2005
2070,Petroleum refining,157000,118180,32134,32884,27.19,27.83,2005
2090,Miscellaneous petroleum and coal products,33000,26444,4335,4335,16.4,16.4,2005
2170,"Resin, synthetic rubber and fibers, and filaments manufacturing",165000,123844,10768,11786,8.7,9.52,2005
2180,Agricultural chemical manufacturing,44000,28752,2843,3843,9.89,13.37,2005
2190,Pharmaceutical and medicine manufacturing,532000,416867,13411,15360,3.22,3.68,2005
2270,"Paint, coating, and adhesive manufacturing",70000,60305,3484,3484,5.78,5.78,2005
2280,"Soap, cleaning compound, and cosmetics manufacturing",159000,121653,3844,5556,3.16,4.57,2005
2290,Industrial and miscellaneous chemicals,549000,416088,59643,62683,14.33,15.06,2005
2370,Plastics product manufacturing,645000,460970,41651,42111,9.04,9.14,2005
2380,Tire manufacturing,104000,79043,20452,21306,25.88,26.96,2005
